#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
** BALTIC **;;;;;;;;;;;;;;
** LETTIGALIAN **;;;;;;;;;;;;;;
emperor_ugric_baltic;Karalis;Karalis;Karalis;;Karalis;;;;;;;;;x
emperor_female_ugric_baltic;Karaliene;Karaliene;Karaliene;;Karaliene;;;;;;;;;x
emperor_title_queen_mother_female_ugric_baltic;Karaliene Mate;Karaliene Mate;Karaliene Mate;;Karaliene Mate;;;;;;;;;x
city_emperor_ugric_baltic;Liela Princis;Liela Princis;Liela Princis;;Liela Princis;;;;;;;;;x
city_empire_of_ugric_baltic;Principality of;Principauté de;Fürstentum von;;Principado de;;;;;;;;;x
;;;;;;;;;;;;;;
king_ugric_baltic;Grand Duke;Grand-Duc;Großherzog;;Gran Duque;;;;;;;;;x
king_female_ugric_baltic;Grand Duchess;Grande-Duchesse;Großherzogin;;Gran Duquesa;;;;;;;;;x
kingdom_of_ugric_baltic;Principality of;Principauté de;Fürstentum von;;Principado de;;;;;;;;;x
city_king_ugric_baltic;High Chancellor;Grand Chancellier;Großkanzler;;Gran Canciller;;;;;;;;;x
kingdom_of_ugric_baltic;Grand Duchy of;Grand-Duché de;Großherzogtum von;;Gran Ducado de;;;;;;;;;x
city_kingdom_of_ugric_baltic;Grand Republic of;Grande République de;Großen Republik;;Gran República de;;;;;;;;;x
;;;;;;;;;;;;;;
city_duke_ugric_baltic;Voivode;Voïvode;Woiwode;;Voïvode;;;;;;;;;x
;;;;;;;;;;;;;;
family_palace_baron_ugric_baltic;Magnate;Magnat;Magnat;;Magnate;;;;;;;;;x
;;;;;;;;;;;;;;
** LITHUANIAN **;;;;;;;;;;;;;;
emperor_lithuanian;Karalius;Karalius;Karalius;;Karalius;;;;;;;;;x
emperor_female_lithuanian;Karaliene;Karaliene;Karaliene;;Karaliene;;;;;;;;;x
emperor_title_queen_mother_female_komi;Karaliene Motina;Karaliene Motina;Karaliene Motina;;Karaliene Motina;;;;;;;;;x
city_emperor_lithuanian;Didysis Princas;Didysis Princas;Didysis Princas;;Didysis Princas;;;;;;;;;x
city_empire_of_lithuanian;Principality of;Principauté de;Fürstentum von;;Principado de;;;;;;;;;x
;;;;;;;;;;;;;;
king_lithuanian;Grand Duke;Grand-Duc;Großherzog;;Gran Duque;;;;;;;;;x
king_female_lithuanian;Grand Duchess;Grande-Duchesse;Großherzogin;;Gran Duquesa;;;;;;;;;x
kingdom_of_lithuanian;Grand Duchy of;Grand-Duché de;Großherzogtum von;;Gran Ducado de;;;;;;;;;x
city_king_lithuanian;High Chancellor;Grand Chancellier;Großkanzler;;Gran Canciller;;;;;;;;;x
city_kingdom_of_lithuanian;Grand Republic of;Grande République de;Großen Republik;;Gran República de;;;;;;;;;x
;;;;;;;;;;;;;;
city_duke_lithuanian;Voivode;Voïvode;Woiwode;;Voïvode;;;;;;;;;x
;;;;;;;;;;;;;;
family_palace_baron_lithuanian;Magnate;Magnat;Magnat;;Magnate;;;;;;;;;x
;;;;;;;;;;;;;;
** PRUSSIAN **;;;;;;;;;;;;;;
emperor_prussian;Cesarz;Cesarz;Cesarz;;Cesarz;;;;;;;;;x
emperor_female_prussian;Cesarzowa;Cesarzowa;Cesarzowa;;Cesarzowa;;;;;;;;;x
emperor_title_queen_mother_female_prussian;Cesarzowa-Matka;Cesarzowa-Matka;Cesarzowa-Matka;;Cesarzowa-Matka;;;;;;;;;x
city_emperor_prussian;Imperialnej Kanclerz;Imperialnej Kanclerz;Imperialnej Kanclerz;;Imperialnej Kanclerz;;;;;;;;;x
city_empire_of_prussian;Senate of;Sénat de;Senat von;;Senado de;;;;;;;;;x
;;;;;;;;;;;;;;
city_king_prussian;High Chancellor;Grand Chancellier;Großkanzler;;Gran Canciller;;;;;;;;;x
city_kingdom_of_prussian;Federation of;Fédération de;Föderation von;;Federación de;;;;;;;;;x
;;;;;;;;;;;;;;
city_duke_prussian;First Mayor;Premier Maire;Erster Bürgermeister;;Primer Alcalde;;;;;;;;;x
;;;;;;;;;;;;;;
family_palace_baron_prussian;Grand Burgher;Grand Bourgeois;Großbürger;;Gran Burgués;;;;;;;;;x
family_palace_baron_female_prussian;Grand Burgheress;Grande Bourgeoise;Großbürgerin;;Gran Burguesa;;;;;;;;;x
