#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
** CENTRAL GERMANIC **;;;;;;;;;;;;;;
emperor_central_germanic;Kaiser;Kaiser;Kaiser;;Kaiser;;;;;;;;;x
emperor_female_central_germanic;Kaiserin;Kaiserin;Kaiserin;;Kaiserin;;;;;;;;;x
emperor_title_queen_mother_female_central_germanic;Kaiserinmutter;Kaiserinmutter;Kaiserinmutter;;Kaiserinmutter;;;;;;;;;x
city_emperor_central_germanic;Reichskanzler;Reichskanzler;Reichskanzler;;Reichskanzler;;;;;;;;;x
city_empire_of_central_germanic;Senate of;Sénat de;Senat von;;Senado de;;;;;;;;;x
;;;;;;;;;;;;;;
city_king_central_germanic;High Chancellor;Grand Chancellier;Großkanzler;;Gran Canciller;;;;;;;;;x
city_kingdom_of_central_germanic;Federation of;Fédération de;Föderation von;;Federación de;;;;;;;;;x
;;;;;;;;;;;;;;
city_duke_central_germanic;First Mayor;Premier Maire;Erster Bürgermeister;;Primer Alcalde;;;;;;;;;x
;;;;;;;;;;;;;;
city_county_of_central_germanic;Free City of;Ville Libre de;Freie Reichsstadt von;;Ciudad Libre del Jeque;;;;;;;;;x
;;;;;;;;;;;;;;
family_palace_baron_central_germanic;Grand Burgher;Grand Bourgeois;Großbürger;;Gran Burgués;;;;;;;;;x
family_palace_baron_female_central_germanic;Grand Burgheress;Grande Bourgeoise;Großbürgerin;;Gran Burguesa;;;;;;;;;x
