#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
** CHRISTIAN **;;;;;;;;;;;;;;
temple_emperor_christian;Primate;Primat;Primat;;Primado;;;;;;;;;x
temple_empire_of_christian;Holy Empire of;Saint Empire de;Heiliger Reich von;;Santo Imperio de;;;;;;;;;x
;;;;;;;;;;;;;;
temple_king_christian;King-Patriarch;Roi-Patriarche;Konig-Patriarchen;;Rey-Patriarca;;;;;;;;;x
temple_kingdom_of_christian;King-Patriarchate of;Royaume-Patriarcat de;Konig-Patriarchat von;;Rey-Patriarcado de;;;;;;;;;x
;;;;;;;;;;;;;;
** ORTHODOX **;;;;;;;;;;;;;;
temple_duke_orthodox;Exarch;Exarque;Exarchen;;Exarca;;;;;;;;;x
temple_duchy_of_orthodox;Exarchate of;Exarchat de;Exarchat von;;Exarcado de;;;;;;;;;x
;;;;;;;;;;;;;;
temple_count_othodox;Metropolitan;Métropolitain;Metropolit;;Metropolitano;;;;;;;;;x
temple_county_of_othodox;Metropolite of;Métropolite de;Metropoliten von;;Metropolita de;;;;;;;;;x
;;;;;;;;;;;;;;
temple_baron_othodox;Eparch;Éparque;Eparchen;;Eparca;;;;;;;;;x
temple_barony_of_othodox;Eparchy of;Éparchie de;Eparchie von;;Eparquía de;;;;;;;;;x
