#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
** LATIN **;;;;;;;;;;;;;;
** ROMAN **;;;;;;;;;;;;;;
emperor_roman;Imperator;Roi;Rex;;Rey;;;;;;;;;x
emperor_female_roman;Imperatrix;Roi;Rex;;Rey;;;;;;;;;x
king_roman;Rex;Roi;Regas;;Rey;;;;;;;;;x
king_female_roman;Regina;Reine;Regina;;Reina;;;;;;;;;x
duke_roman;Legatus Augusti;;;;;;;;;;;;;x
duke_female_roman;Legata Augusti;;;;;;;;;;;;;x
count_roman;Legatus;;;;;;;;;;;;;x
count_female_roman;Legata;;;;;;;;;;;;;x
baron_roman;Eques;;;;;;;;;;;;;x
baron_female_roman;Eques;;;;;;;;;;;;;x
;;;;;;;;;;
city_emperor_roman;Emperor;Empereur;Kaiser;;Emperador;;;;;;;;;x
city_king_roman;Consul;Consul;Konsulat;;Cónsul;;;;;;;;;x
city_duke_roman;Proconsul;Proconsul;Prokonsul;;Procónsul;;;;;;;;;x
city_count_roman;Lord Prefect;Seigneur-Préfet;Oberbürgermeister;;Gran Prefecto;;;;;;;;;x
city_baron_roman;Prefect;Préfet;Bürgermeister;;Prefecto;;;;;;;;;x
family_palace_baron_roman;Pater Familias;;;;;;;;;;;;;x
family_palace_baron_female_roman;Mater Familias;;;;;;;;;;;;;x
;;;;;;;;;;
** FRANKISH **;;;;;;;;;;;;;;
emperor_frankish;Empereur;Empereur;Empereur;;Empereur;;;;;;;;;x
emperor_female_frankish;Impératrice;Impératrice;Impératrice;;Impératrice;;;;;;;;;x
emperor_title_queen_mother_female_frankish;Impératrice Douairière;Impératrice Douairière;Impératrice Douairière;;Impératrice Douairière;;;;;;;;;x
city_emperor_frankish;Consul;Consul;Consul;;Consul;;;;;;;;;x
city_empire_of_frankish;Senate of;Sénat de;Senat von;;Senado de;;;;;;;;;x
;;;;;;;;;;;;;;
city_king_frankish;Tribune;Tribun;Volkstribun;;Tribuno;;;;;;;;;x
city_kingdom_of_frankish;Grand Republic of;Grande République de;Großen Republik;;Gran República de;;;;;;;;;x
;;;;;;;;;;;;;;
city_duke_frankish;Lord Magistrate;Seigneur Magistrat;Herr Friedensrichter;;Signore Magistrado;;;;;;;;;x
;;;;;;;;;;;;;;
** OCCITAN **;;;;;;;;;;;;;;
emperor_occitan;Empereur;Empereur;Empereur;;Empereur;;;;;;;;;x
emperor_female_occitan;Impératrice;Impératrice;Impératrice;;Impératrice;;;;;;;;;x
emperor_title_queen_mother_female_occitan;Impératrice Douairière;Impératrice Douairière;Impératrice Douairière;;Impératrice Douairière;;;;;;;;;x
city_emperor_occitan;Consul;Consul;Consul;;Consul;;;;;;;;;x
city_empire_of_occitan;Senate of;Sénat de;Senat von;;Senado de;;;;;;;;;x
;;;;;;;;;;;;;;
city_king_occitan;Tribune;Tribun;Volkstribun;;Tribuno;;;;;;;;;x
city_kingdom_of_occitan;Grand Republic of;Grande République de;Großen Republik;;Gran República de;;;;;;;;;x
;;;;;;;;;;;;;;
city_duke_occitan;Lord Magistrate;Seigneur Magistrat;Herr Friedensrichter;;Signore Magistrado;;;;;;;;;x
;;;;;;;;;;;;;;
** NORMAN **;;;;;;;;;;;;;;
emperor_norman;Empereur;Empereur;Empereur;;Empereur;;;;;;;;;x
emperor_female_norman;Impératrice;Impératrice;Impératrice;;Impératrice;;;;;;;;;x
