#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
** WEST SLAVIC **;;;;;;;;;;;;;;
** POMERANIAN **;;;;;;;;;;;;;;
emperor_pomeranian;Císar;Císar;Císar;;Císar;;;;;;;;;x
emperor_female_pomeranian;Císarovna;Císarovna;Císarovna;;Císarovna;;;;;;;;;x
emperor_title_queen_mother_female_pomeranian;Vdova Císarovny;Vdova Císarovny;Vdova Císarovny;;Vdova Císarovny;;;;;;;;;x
city_emperor_pomeranian;Velký Princ;Velký Princ;Velký Princ;;Velký Princ;;;;;;;;;x
city_empire_of_pomeranian;Principality of;Principauté de;Fürstentum von;;Principado de;;;;;;;;;x
;;;;;;;;;;;;;;
city_king_pomeranian;High Chancellor;Grand Chancellier;Großkanzler;;Gran Canciller;;;;;;;;;x
city_kingdom_of_pomeranian;Grand Republic of;Grande République de;Großen Republik;;Gran República de;;;;;;;;;x
;;;;;;;;;;;;;;
city_duke_pomeranian;Voivode;Voïvode;Woiwode;;Voïvode;;;;;;;;;x
;;;;;;;;;;;;;;
family_palace_baron_pomeranian;Grand Burgher;Grand Bourgeois;Großbürger;;Gran Burgués;;;;;;;;;x
family_palace_baron_female_pomeranian;Grand Burgheress;Grande Bourgeoise;Großbürgerin;;Gran Burguesa;;;;;;;;;x
;;;;;;;;;;;;;;
** BOHEMIAN **;;;;;;;;;;;;;;
emperor_bohemian;Císar;Císar;Císar;;Císar;;;;;;;;;x
emperor_female_bohemian;Císarovna;Císarovna;Císarovna;;Císarovna;;;;;;;;;x
emperor_title_queen_mother_female_bohemian;Vdova Císarovny;Vdova Císarovny;Vdova Císarovny;;Vdova Císarovny;;;;;;;;;x
city_emperor_bohemian;Velký Princ;Velký Princ;Velký Princ;;Velký Princ;;;;;;;;;x
city_empire_of_bohemian;Principality of;Principauté de;Fürstentum von;;Principado de;;;;;;;;;x
;;;;;;;;;;;;;;
city_king_bohemian;High Chancellor;Grand Chancellier;Großkanzler;;Gran Canciller;;;;;;;;;x
city_kingdom_of_bohemian;Grand Republic of;Grande République de;Großen Republik;;Gran República de;;;;;;;;;x
;;;;;;;;;;;;;;
city_duke_bohemian;Voivode;Voïvode;Woiwode;;Voïvode;;;;;;;;;x
;;;;;;;;;;;;;;
family_palace_baron_bohemian;Grand Burgher;Grand Bourgeois;Großbürger;;Gran Burgués;;;;;;;;;x
family_palace_baron_female_bohemian;Grand Burgheress;Grande Bourgeoise;Großbürgerin;;Gran Burguesa;;;;;;;;;
;;;;;;;;;;;;;;
** POLISH **;;;;;;;;;;;;;;
emperor_polish;Cesarz;Cesarz;Cesarz;;Cesarz;;;;;;;;;x
emperor_female_polish;Cesarzowa;Cesarzowa;Cesarzowa;;Cesarzowa;;;;;;;;;x
emperor_title_queen_mother_female_polish;Cesarzowa-Matka;Cesarzowa-Matka;Cesarzowa-Matka;;Cesarzowa-Matka;;;;;;;;;x
city_emperor_polish;Wielki Ksiaze;Wielki Ksiaze;Wielki Ksiaze;;Wielki Ksiaze;;;;;;;;;x
city_empire_of_polish;Principality of;Principauté de;Fürstentum von;;Principado de;;;;;;;;;x
;;;;;;;;;;;;;;
city_king_polish;High Chancellor;Grand Chancellier;Großkanzler;;Gran Canciller;;;;;;;;;x
city_kingdom_of_polish;Grand Republic of;Grande République de;Großen Republik;;Gran República de;;;;;;;;;x
;;;;;;;;;;;;;;
city_duke_polish;Voivode;Voïvode;Woiwode;;Voïvode;;;;;;;;;x
;;;;;;;;;;;;;;
family_palace_baron_polish;Magnate;Magnat;Magnat;;Magnate;;;;;;;;;x
family_palace_baron_female_polish;Lady;Dame;Frau;;Señora;;;;;;;;;x
