#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
** CHRISTIAN **;;;;;;;;;;;;;;
temple_emperor_christian;Primate;Primat;Primat;;Primado;;;;;;;;;x
temple_empire_of_christian;See of;Siège de;Heiliger Reich von;;Santo Imperio de;;;;;;;;;x
;;;;;;;;;;;;;;
temple_king_christian;Patriarch;Patriarche;Patriarchen;;Patriarca;;;;;;;;;x
temple_kingdom_of_christian;Patriarchate of;Patriarcat de;Patriarchat von;;Rey-Patriarcado de;;;;;;;;;x
;;;;;;;;;;;;;;
temple_duke_christian;Prince-Archbishop;Prince Archevêque;Prinz-Erzbischof;;Príncipe arzobispo;;;;;;;;;x
;;;;;;;;;;;;;;
temple_count_christian;Prince-Bishop;Prince-évêque;Prinz-Bischof;;Príncipe obispo;;;;;;;;;x
;;;;;;;;;;;;;;
** LOLLARD **;;;;;;;;;;;;;;
temple_emperor_lollard;Primate;Primat;Primat;;Primado;;;;;;;;;x
temple_empire_of_lollard;See of;Siège de;Heiliger Reich von;;Santo Imperio de;;;;;;;;;x
;;;;;;;;;;;;;;
temple_king_lollard;Patriarch;Patriarche;Patriarchen;;Patriarca;;;;;;;;;x
temple_kingdom_of_lollard;Patriarchate of;Patriarcat de;Patriarchat von;;Rey-Patriarcado de;;;;;;;;;x
;;;;;;;;;;;;;;
temple_duke_lollard;Prince-Archbishop;Prince Archevêque;Prinz-Erzbischof;;Príncipe arzobispo;;;;;;;;;x
;;;;;;;;;;;;;;
temple_count_lollard;Prince-Bishop;Prince-évêque;Prinz-Bischof;;Príncipe obispo;;;;;;;;;x
;;;;;;;;;;;;;;
** CATHAR **;;;;;;;;;;;;;;
temple_emperor_cathar;Primate;Primat;Primat;;Primado;;;;;;;;;x
temple_empire_of_cathar;See of;Siège de;Heiliger Reich von;;Santo Imperio de;;;;;;;;;x
;;;;;;;;;;;;;;
temple_king_cathar;Patriarch;Patriarche;Patriarchen;;Patriarca;;;;;;;;;x
temple_kingdom_of_cathar;Patriarchate of;Patriarcat de;Patriarchat von;;Rey-Patriarcado de;;;;;;;;;x
;;;;;;;;;;;;;;
temple_duke_cathar;Prince-Archbishop;Prince Archevêque;Prinz-Erzbischof;;Príncipe arzobispo;;;;;;;;;x
;;;;;;;;;;;;;;
temple_count_cathar;Prince-Bishop;Prince-évêque;Prinz-Bischof;;Príncipe obispo;;;;;;;;;x
;;;;;;;;;;;;;;
** FRATICELLI **;;;;;;;;;;;;;;
temple_emperor_fraticelli;Primate;Primat;Primat;;Primado;;;;;;;;;x
temple_empire_of_fraticelli;See of;Siège de;Heiliger Reich von;;Santo Imperio de;;;;;;;;;x
;;;;;;;;;;;;;;
temple_king_fraticelli;Patriarch;Patriarche;Patriarchen;;Patriarca;;;;;;;;;x
temple_kingdom_of_fraticelli;Patriarchate of;Patriarcat de;Patriarchat von;;Rey-Patriarcado de;;;;;;;;;x
;;;;;;;;;;;;;;
temple_duke_fraticelli;Prince-Archbishop;Prince Archevêque;Prinz-Erzbischof;;Príncipe arzobispo;;;;;;;;;x
;;;;;;;;;;;;;;
temple_count_fraticelli;Prince-Bishop;Prince-évêque;Prinz-Bischof;;Príncipe obispo;;;;;;;;;x
;;;;;;;;;;;;;;
** FRATICELLI **;;;;;;;;;;;;;;
temple_emperor_fraticelli;Primate;Primat;Primat;;Primado;;;;;;;;;x
temple_empire_of_fraticelli;See of;Siège de;Heiliger Reich von;;Santo Imperio de;;;;;;;;;x
;;;;;;;;;;;;;;
temple_king_fraticelli;Patriarch;Patriarche;Patriarchen;;Patriarca;;;;;;;;;x
temple_kingdom_of_fraticelli;Patriarchate of;Patriarcat de;Patriarchat von;;Rey-Patriarcado de;;;;;;;;;x
;;;;;;;;;;;;;;
temple_duke_fraticelli;Prince-Archbishop;Prince Archevêque;Prinz-Erzbischof;;Príncipe arzobispo;;;;;;;;;x
;;;;;;;;;;;;;;
temple_count_fraticelli;Prince-Bishop;Prince-évêque;Prinz-Bischof;;Príncipe obispo;;;;;;;;;x
;;;;;;;;;;;;;;
** MIAPHYSITE **;;;;;;;;;;;;;;
temple_emperor_miaphysite;Primate;Primat;Primat;;Primado;;;;;;;;;x
