#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
** LATIN **;;;;;;;;;;;;;;
** ROMAN **;;;;;;;;;;;;;;
emperor_roman;Imperator;Roi;Rex;;Rey;;;;;;;;;x
emperor_female_roman;Imperatrix;Roi;Rex;;Rey;;;;;;;;;x
king_roman;Rex;Roi;Regas;;Rey;;;;;;;;;x
king_female_roman;Regina;Reine;Regina;;Reina;;;;;;;;;x
duke_roman;Legatus Augusti;;;;;;;;;;;;;x
duke_female_roman;Legata Augusti;;;;;;;;;;;;;x
count_roman;Legatus;;;;;;;;;;;;;x
count_female_roman;Legata;;;;;;;;;;;;;x
baron_roman;Eques;;;;;;;;;;;;;x
baron_female_roman;Eques;;;;;;;;;;;;;x
;;;;;;;;;;
city_emperor_roman;Emperor;Empereur;Kaiser;;Emperador;;;;;;;;;x
city_king_roman;Consul;Consul;Konsulat;;Cónsul;;;;;;;;;x
city_duke_roman;Proconsul;Proconsul;Prokonsul;;Procónsul;;;;;;;;;x
city_count_roman;Lord Prefect;Seigneur-Préfet;Oberbürgermeister;;Gran Prefecto;;;;;;;;;x
city_baron_roman;Prefect;Préfet;Bürgermeister;;Prefecto;;;;;;;;;x
family_palace_baron_roman;Pater Familias;;;;;;;;;;;;;x
family_palace_baron_female_roman;Mater Familias;;;;;;;;;;;;;x
;;;;;;;;;;
;;;;;;;;;;;;;;
** OCCITAN **;;;;;;;;;;;;;;
emperor_occitan;Empereur;Empereur;Empereur;;Empereur;;;;;;;;;x
emperor_female_occitan;Impératrice;Impératrice;Impératrice;;Impératrice;;;;;;;;;x
emperor_title_queen_mother_female_occitan;Impératrice Douairière;Impératrice Douairière;Impératrice Douairière;;Impératrice Douairière;;;;;;;;;x
city_emperor_occitan;Consul;Consul;Consul;;Consul;;;;;;;;;x
city_empire_of_occitan;Senate of;Sénat de;Senat von;;Senado de;;;;;;;;;x
;;;;;;;;;;;;;;
city_king_occitan;Tribune;Tribun;Volkstribun;;Tribuno;;;;;;;;;x
city_kingdom_of_occitan;Grand Republic of;Grande République de;Großen Republik;;Gran República de;;;;;;;;;x
;;;;;;;;;;;;;;
city_duke_occitan;First Mayor;Premier Maire;Herr Friedensrichter;;Signore Magistrado;;;;;;;;;x
** ITALIAN **;;;;;;;;;;;;;;
emperor_italian;Imperatore;Imperatore;Imperatore;;Imperatore;;;;;;;;;x
emperor_female_italian;Imperatrice;Imperatrice;Imperatrice;;Imperatrice;;;;;;;;;x
emperor_title_queen_mother_female_italian;Imperatrice Vedova;Imperatrice Vedova;Imperatrice Vedova;;Imperatrice Vedova;;;;;;;;;x
city_emperor_italian;Console;Console;Console;;Console;;;;;;;;;x
city_empire_of_italian;Senate of;Sénat de;Senat von;;Senado de;;;;;;;;;x
;;;;;;;;;;;;;;
city_king_italian;Serene Doge;Doge Sérénissime;Gelassene Doge;;Doge Serenísima;;;;;;;;;x
city_kingdom_of_italian;Serene Republic;République Sérénissime de;Gelassene Republik von;;Serenísima República de;;;;;;;;;x
;;;;;;;;;;;;;;
city_duke_italian;Doge;Doge;Doge;;Doge;;;;;;;;;x
;;;;;;;;;;;;;;
** SICILIAN **;;;;;;;;;;;;;;
emperor_sicilian;Imperatore;Imperatore;Imperatore;;Imperatore;;;;;;;;;x
emperor_female_sicilian;Imperatrice;Imperatrice;Imperatrice;;Imperatrice;;;;;;;;;x
emperor_title_queen_mother_female_sicilian;Imperatrice Vedova;Imperatrice Vedova;Imperatrice Vedova;;Imperatrice Vedova;;;;;;;;;x
city_emperor_sicilian;Console;Console;Console;;Console;;;;;;;;;x
city_empire_of_sicilian;Senate of;Sénat de;Senat von;;Senado de;;;;;;;;;x
;;;;;;;;;;;;;;
city_king_sicilian;Serene Doge;Doge Sérénissime;Gelassene Doge;;Doge Serenísima;;;;;;;;;x
city_kingdom_of_sicilian;Serene Republic;République Sérénissime de;Gelassene Republik von;;Serenísima República de;;;;;;;;;x
;;;;;;;;;;;;;;
city_duke_sicilian;Doge;Doge;Doge;;Doge;;;;;;;;;x
